date,type,title,duration_hours,bike_miles,run_miles,swim_yards,strength,summary,details,source,inferred_from_schedule
2026-07-01,Swim,Short recovery swim,0,0,0,546.8,0,500 m swim.,,Notes,
2026-07-02,Bike,Aerobic Zwift ride,1.25,22,0,0,0,22 mi in 1:15 on Zwift.,682 ft elevation,Notes,
2026-07-03,Run,Negative split run,0,0,5,0,0,5 mi negative split.,Progressed roughly 9:30 → 7:30/mi,Notes,
2026-07-04,Bike,Long bike,2,30,0,0,0,30 mi in 2:00.,,Notes,
2026-07-04,Run,Brick / hilly run,0.5,0,3.34,0,0,3.34 mi run.,530 ft elevation gain,Notes,
2026-07-05,Run,Long run,1.5667,0,10.25,0,0,10.25 mi in 1:34.,9:13/mi,Notes,
2026-07-10,Run,Easy recovery run,0.5169,0,3.15,0,0,3.1 mi run.,149 bpm avg HR · 41 TSS · IF 0.86,TrainingPeaks,
2026-07-11,Bike,Double Marin loop,2.0622,17.698,0,0,0,17.7 mi bike.,105 bpm avg HR · 69 TSS · IF 0.54,TrainingPeaks,
2026-07-11,Run,20' otb easy,0.3333,0,2.312,0,0,2.3 mi run.,155 bpm avg HR · 42 TSS · IF 1.14,TrainingPeaks,
2026-07-12,Run,85' + 8x:60 strides,1.4218,0,9.823,0,0,"Nice job on this. Well executed. Next time, feel free to lap your watch with every rep. Makes it a bit easier for me to pull it and see the paces. Got it, also I think each of the 8 intervals ended up at 6-6:15, with the",162 bpm avg HR · 195 TSS · IF 1.17,TrainingPeaks,
2026-07-12,Swim,1500 cruise neg split/desc,0.3854,0,0,1394.4,0,200 swim 200 pull 100 kick 100 pull neg split :30SR 4 x 50 cruise :15SR 100 pull neg split :30SR 4 x 100 desc 1-4 :15SR 100 pull neg split :30SR (900) 100 cd,144 bpm avg HR · 2 TSS · IF 0.34,TrainingPeaks,
2026-07-14,Run,Easy run (40 min),0.6081,0,3.998,0,0,"Did this late at night on the beach and after dinner, was very hard. My stomach was killing the entire time cuz I prob ran too close to finishing the meal. Also the sand and wind was tough Always tricky in a new place to",159 bpm avg HR · 70 TSS · IF 1.08,TrainingPeaks,
2026-07-14,Run,Run workout,0.1468,0,0.875,0,0,0.9 mi run.,155 bpm avg HR · 15 TSS · IF 1.05,TrainingPeaks,
2026-07-14,Swim,Open Water Swimming,0.4616,0,0,1155.0,0,1155 yd swim.,157 bpm avg HR · 1 TSS · IF 0.24,TrainingPeaks,
2026-07-15,Bike,4x3:00 Solid,1.0,17.364,0,0,0,"20min warm up 4x:30 accelerations, 90sec recovery 5min easy (35) 4x3:00 Solid (think sprint tri effort), 2min recovery between 10min CD",136 W avg · 137 bpm avg HR · 49 TSS · IF 0.70,TrainingPeaks,
2026-07-15,Swim,Open Water,0.3807,0,0,1028.2,0,"10min easy 8x40 strokes hard, 20 strokes easy Cool down 10-15min to 30min total",159 bpm avg HR · 1 TSS · IF 0.26,TrainingPeaks,
2026-07-16,Run,10 Minute Tempo,0.6667,0,4.627,0,0,"How'd this feel? Well executed, I was curious to see how you'd fare given that we don't have much run data.",165 bpm avg HR · 91 TSS · IF 1.17,TrainingPeaks,
2026-07-17,Bike,45 Min Z2 Ride,0.75,14.152,0,0,0,Keep the heart rate in Zone 2 for the majority of the ride! Feel free to add some sprints and bursts to flush out the legs. Use this to recover if you'd like!,146 W avg · 142 bpm avg HR · 34 TSS · IF 0.67,TrainingPeaks,
2026-07-18,Run,Long Run (90min),1.5164,0,9.506,0,0,Perfect. Hope your legs are feeling primed!,147 bpm avg HR · 185 TSS · IF 1.04,TrainingPeaks,
2026-07-18,Swim,"Monday Cruise 2x200, 3x100",0.6432,0,0,1601.5,0,"Did not get to use a pool so did not do any drills. I was swimming in the intracoastal waterway, and I’d alternate against the current and then swim back with the current (against the current was so very hard) Hah! Impro",134 bpm avg HR · 1 TSS · IF 0.24,TrainingPeaks,
2026-07-19,Bike,90min Stationary Bike Workout,1.5,0.0,0,0,0,"Stationary technogym bike, averaged 185-210W on the 12 2 minute intervals Nice work. Glad you got this in and solid work on the week as a whole. Well done and ready for a travel day and then testing!",,TrainingPeaks,
2026-07-20,Run,30' easy,0.5233,0,3.368,0,0,3.4 mi run.,66 TSS · IF 1.07,TrainingPeaks,
2026-07-21,Swim,Drill day 2600 Pull/BC 1.1,0.3517,0,0,1093.6,0,WU: 200 easy 8x25 kick @ 15 SR Main: 4x200 as Odds Pull (breath control) Evens build stroke rate every 50 @ 20 SR 1 minute rest 5x100 as 25 single arm with fins 25 swim @ 15 SR CD: 100 easy,130 bpm avg HR · 1 TSS · IF 0.29,TrainingPeaks,
2026-07-21,Swim,Lap Swimming,0.0317,0,0,109.4,0,109 yd swim.,135 bpm avg HR · 0 TSS · IF 0.16,TrainingPeaks,
2026-07-22,Run,2x7:00 Tempo,0.8006,0,5.545,0,0,"15min warm up 4x:15 strides, 90sec jog rest btwn 3min easy (25) 2x7:00 @tempo 2min jog rest between 8min CD",153 bpm avg HR · 110 TSS · IF 1.17,TrainingPeaks,
2026-07-23,Bike,"Critical Power Test (20 sec, 3min, 12min)",1.3811,20.123,0,0,0,"20sec went by super fast, 3 mins was rough my quads felt like bricks for the last minute, and then 12mins I’m not positive if I was too conservative, in my head my goal was try to maintain above 200 the whole time but I’",121 W avg · 123 bpm avg HR · 87 TSS · IF 0.79,TrainingPeaks,
2026-07-23,Bike,"Zwift - Critical Power Test (20 sec, 3min, 12min)",1.2517,17.284,0,0,0,17.3 mi bike.,135 W avg · 139 bpm avg HR · 79 TSS · IF 0.80,TrainingPeaks,
2026-07-24,Swim,100-200-300 sighting/BC,0.8489,0,0,2500.0,0,Watch lap errors during rests. Corrected manually to include 200 pull and 500 kick. Swim/pull pace excluding warm-up kick was approximately 1:53/100 yd,132 bpm avg HR · 2 TSS · IF 0.30,TrainingPeaks,
2026-07-25,Bike,2.5hr + 5/5/5 build,4.1663,56.13,0,0,0,Fuel well. At least 600mL fluid with 600mg+ of sodium per hour. Also target about 60g of carbs during this - 150g for the whole ride.,,TrainingPeaks,
2026-07-26,Run,90' 3x4:00 tempo,0.8104,0,5.012,0,0,"40min warm up 4x:15 strides, 90sec jog rest 3min easy (55min total) 3x4:00 @7:30-7:50/mile depending on heat, 2min jog rest CD to 90min",145 bpm avg HR · 81 TSS · IF 1.01,TrainingPeaks,
2026-07-26,Run,Run workout,0.6447,0,3.861,0,0,3.9 mi run.,138 bpm avg HR · 66 TSS · IF 1.01,TrainingPeaks,
2026-07-27,Run,30' easy,0.5205,0,3.01,0,0,3.0 mi run.,135 bpm avg HR · 54 TSS · IF 1.03,TrainingPeaks,
2026-07-27,Swim,Neg split/descend 2000,0.5545,0,0,1875.0,0,200 swim 200 pull 100 kick 200 pull neg split :30SR 4 x 50 cruise :15SR 200 pull neg split :30SR 4 x 100 desc 1-4 :15SR 200 pull neg split :30SR 4 x 50 desc 1-4 :15SR (1400) 100 cd,138 bpm avg HR · 2 TSS · IF 0.32,TrainingPeaks,
2026-07-28,Bike,70.3 Target Intervals 1.1,1.3778,24.656,0,0,0,24.7 mi bike.,152 W avg · 143 bpm avg HR · 72 TSS · IF 0.73,TrainingPeaks,
2026-07-28,Bike,Indoor Cycling,1.3715,24.36,0,0,0,24.4 mi bike.,153 W avg · 121 TSS · IF 0.94,TrainingPeaks,
2026-07-29,Run,20' easy + strides,0.3327,0,1.867,0,0,"4x:15 strides in the second half of this, on 60sec jog rest",140 bpm avg HR · 31 TSS · IF 0.94,TrainingPeaks,
2026-07-29,Swim,Drills DPS focus 2200,0.5056,0,0,2100.0,0,"200 swim 200 pull 100 kick 2x 4x100 50 Distance per stroke (count strokes), 50 cruise :20SR 300 pull w/paddles breathing every 3,5,7 strokes by 100 :30SR 100 easy (1600) 100 cd",131 bpm avg HR · 2 TSS · IF 0.32,TrainingPeaks,
2026-07-30,Bike,1 hr Zone 2 Intervals,1.0044,15.942,0,0,0,Easy zone 2 spinning.,110 W avg · 126 bpm avg HR · 43 TSS · IF 0.66,TrainingPeaks,
2026-07-30,Bike,Indoor Cycling,0.9654,20.693,0,0,0,20.7 mi bike.,112 W avg · 36 TSS · IF 0.62,TrainingPeaks,
2026-08-01,Run,5km TT,0.3628,0,3.095,0,0,"Ok, so your ""threshold"" will be around 7:25-7:30. When we target half marathon pace, we will sit in the 7:40-7:50/mile range.",185 bpm avg HR · 110 TSS · IF 1.76,TrainingPeaks,
2026-08-01,Run,Run workout,0.1686,0,1.019,0,0,1.0 mi run.,146 bpm avg HR · 28 TSS · IF 1.33,TrainingPeaks,
2026-08-02,Run,20' easy,0.3333,0,2.214,0,0,2.2 mi run.,151 bpm avg HR · 62 TSS · IF 1.37,TrainingPeaks,
2026-08-03,Bike,Gym bike 15x1:00 hard,1.2064,20.994,0,0,0,"20min warm up 3min build 7min easy (30min) 15x1:00 hard on gym bike, 1min recovery 15min cooldown",132 W avg · 136 bpm avg HR · 99 TSS · IF 0.91,TrainingPeaks,
2026-08-03,Run,Night Run,0.2497,0,1.5,0,0,1.5 mi run.,135 bpm avg HR · 15 TSS · IF 0.75,TrainingPeaks,
2026-08-04,Run,5x3:00 descend,0.912,0,6.0,0,0,"Did all the intervals but was on a treadmill so couldn't really lap Heart rate data is accurate, pace data inaccurate cuz Coros was trying to guess pace. Treadmill I was doing easy/rests at 10min/mile, and then the plann",146 bpm avg HR · 49 TSS · IF 0.70,TrainingPeaks,
2026-08-04,Swim,"4x25, 4x50, 300 pull Drills or OWS",1.0833,0,0,2500.0,0,"the 6 kick switch was tough. I couldn't figure out when to breathe. Also Tarzan drill was surprisingly tough workout too It's a difficult drill. Easier with fins on, if you weren't wearing them. A snorkel may be a worthy",129 bpm avg HR · 1 TSS · IF 0.20,TrainingPeaks,
2026-08-05,Run,20’ with strides,0.357,0,2.248,0,0,2.2 mi run.,144 bpm avg HR · 72 TSS · IF 1.45,TrainingPeaks,
2026-08-06,Bike,70.3 Increasing Sweet Spot,1.2217,19.5,0,0,0,"Looks like there were some issues here, How are you feeling?",122 W avg · 132 bpm avg HR · 75 TSS · IF 0.78,TrainingPeaks,
2026-08-06,Bike,Indoor Cycling,1.4713,17.064,0,0,0,17.1 mi bike.,101 W avg · 70 TSS · IF 0.69,TrainingPeaks,
2026-08-07,Run,Running,0.3344,0,2.074,0,0,2.1 mi run.,143 bpm avg HR · 55 TSS · IF 1.30,TrainingPeaks,
2026-08-08,Bike,"3x(15min under, 5min @70.3) long ride",2.9077,41.985,0,0,0,"Felt solid off the bike, but had to cut it short for an airport pickup According to chatGPT: | Duration | Best avg power | When | | ---------- | -------------: | ----------- | | 1 min | 309 W | 8:46:46–8:47:46 | | 3 min ",160 W avg · 144 bpm avg HR · 319 TSS · IF 1.05,TrainingPeaks,
2026-08-08,Run,20 easy otb,0.0365,0,0.212,0,0,0.2 mi run.,141 bpm avg HR · 5 TSS · IF 1.26,TrainingPeaks,
2026-08-08,Run,Running,0.0708,0,0.482,0,0,0.5 mi run.,144 bpm avg HR · 14 TSS · IF 1.43,TrainingPeaks,
2026-08-09,Run,90' + 10min tempo,1.508,0,10.011,0,0,Nicely executed tempo,154 bpm avg HR · 284 TSS · IF 1.38,TrainingPeaks,
2026-08-10,Bike,Build Over/Under 4x6 minute 85%-100%,1.2211,19.78,0,0,0,19.8 mi bike.,118 W avg · 129 bpm avg HR · 68 TSS · IF 0.75,TrainingPeaks,
2026-08-10,Swim,High end Threshold 1.1,0.6579,0,0,2400.0,0,"WU: 400 Easy 300 pull 100 kick Pre Set: 4x25 odds fast, evens easy @ 10 RI Main: 2x through 5x100 hard :30SR 200 super easy CD: 100 easy",144 bpm avg HR · 1 TSS · IF 0.24,TrainingPeaks,
2026-08-11,Run,"5x4:00 descend 1-3, hold 4 and 5",1.0005,0,6.43,0,0,"Did the full workout as planned, was on tread mill so did the intervals at 7:50 something, 7:40 something, and then the last 3 at 7:34",137 bpm avg HR · 50 TSS · IF 0.67,TrainingPeaks,
2026-08-13,Run,Running,0.5042,0,3.499,0,0,3.5 mi run.,154 bpm avg HR · 96 TSS · IF 1.39,TrainingPeaks,
2026-08-15,Bike,70.3 Big Day,3.4047,62.354,0,0,0,"As soon as you're done with the 56 mile ride, head straight into the run.",148 W avg · 149 bpm avg HR · 256 TSS · IF 0.87,TrainingPeaks,
2026-08-15,Run,20 min @70.3 pace,0.6667,0,4.551,0,0,20 mins @goal 70.3 run pace. 20min easy cooldown,167 bpm avg HR · 126 TSS · IF 1.38,TrainingPeaks,
2026-08-16,Swim,"Cruise Swim 2x (300 pull, 4x100)",0.727,0,0,2300.0,0,400 swim 300 pull 100 kick 2x 300 pull @30SR 4 x 100 descend 1-4 @15SR (2400) 200 easy,148 bpm avg HR · 1 TSS · IF 0.22,TrainingPeaks,
2026-08-17,Swim,"Solid 3x100, 2x100, 1x100",0.5,0,0,1600.0,0,"10min easy OWS 10x20 strokes hard, 20 strokes easy 10min easy",145 bpm avg HR · 0 TSS · IF 0.23,TrainingPeaks,
2026-08-18,Bike,Gym bike 15x1:00 hard,1.0,20.0,0,0,0,"Did my 1 min hard efforts between 250-280 watts on peloton bike reading, so not sure what that translates to irl Totally fine. Not worried about the exact numbers, more making sure you're still getting that time and effo",170 W avg,TrainingPeaks,
2026-08-19,Run,45' easy,0.75,0,5.183,0,0,5.2 mi run.,161 bpm avg HR · 145 TSS · IF 1.40,TrainingPeaks,
2026-08-20,Run,20’ with strides,0.3463,0,2.568,0,0,2.6 mi run.,161 bpm avg HR · 77 TSS · IF 1.51,TrainingPeaks,
2026-08-20,Swim,"200 solid, 8x50 1f/3ez, 100 solid",0.6851,0,0,2300.0,0,"Oh gosh, I must have saved this workout wrong in my library. Sorry about the listed intervals - I will adjust that right now. How was this session?",142 bpm avg HR · 1 TSS · IF 0.24,TrainingPeaks,
2026-08-21,Bike,Gym bike 8x2:00,0.75,14.693,0,0,0,"15min warm up 8x2:00 solid, 1min recovery 5min CD",,TrainingPeaks,
2026-08-22,Run,90 + 3x5min tempo,1.5628,0,10.503,0,0,How was this? Looks like on the treadmill,148 bpm avg HR · 160 TSS · IF 1.11,TrainingPeaks,
2026-08-23,Bike,3x(5min+20min) uptempo,2.7184,48.293,0,0,0,"Outdoor option: at least 60min warm up Find a 10-15minute climb. Execute the climb at a steady/solid effort 4 times, recovering back down. Power range 170-190. 60min cd",168 W avg · 149 bpm avg HR · 277 TSS · IF 1.01,TrainingPeaks,
2026-08-24,Run,30' easy,0.5002,0,3.003,0,0,3.0 mi run.,143 bpm avg HR · 30 TSS · IF 0.75,TrainingPeaks,
2026-08-24,Swim,"3-breath, Single arm, Tarzan drills",0.5833,0,0,1950.0,0,"100 swim 100 pull 100 kick 2x all :20SR 4x50 breathing every 3 100 kick on back with fins 3x50 single arm (25 right, 25 left) 100 pull w/paddles 2x25 25 tarzan 100 pull w/paddles 50 cruise 100 cd",65 TSS · IF 1.04,TrainingPeaks,
2026-08-24,Swim,Lap Swimming,0.3973,0,0,1425.0,0,1425 yd swim.,139 bpm avg HR · 1 TSS · IF 0.25,TrainingPeaks,
2026-08-25,Bike,Indoor Cycling,1.4616,30.19,0,0,0,30.2 mi bike.,110 W avg · 77 TSS · IF 0.73,TrainingPeaks,
2026-08-25,Bike,Key Intensity 3x15 80-85% Broken 1.1,1.4275,20.481,0,0,0,20.5 mi bike.,132 W avg · 133 bpm avg HR · 81 TSS · IF 0.76,TrainingPeaks,
2026-08-25,Run,20’ with strides,0.3382,0,2.213,0,0,2.2 mi run.,151 bpm avg HR · 58 TSS · IF 1.33,TrainingPeaks,
2026-08-26,Swim,Solid 1-2-3,0.6233,0,0,2200.0,0,Slowed down a bit but I'm impressed with this. Great work pacing.,151 bpm avg HR · 1 TSS · IF 0.24,TrainingPeaks,
2026-08-27,Bike,45' easy,0.7547,9.714,0,0,0,9.7 mi bike.,109 W avg · 130 bpm avg HR · 25 TSS · IF 0.58,TrainingPeaks,
2026-08-27,Run,3x7:00 Steady,1.1684,0,8.474,0,0,Beautifully done!,156 bpm avg HR · 224 TSS · IF 1.39,TrainingPeaks,
2026-08-28,Swim,"8x50 solid/easy, 200 steady",0.8538,0,0,3000.0,0,"400 sw/300 pull/100 kick 4 x 100 short scull/sw/long scull/sw :10SR 4 x 50 F/EZ, ez/F, all F, all ez on :15SR 100 (1500) 2x 8 x 50 2 solid/2 easy on :10SR 200 steady :30SR 100 easy (1400) 100 easy",146 bpm avg HR · 1 TSS · IF 0.23,TrainingPeaks,
2026-08-29,Bike,4x(5min+15min) uptempo,3.0231,42.681,0,0,0,Very solid work.,127 W avg · 129 bpm avg HR · 171 TSS · IF 0.75,TrainingPeaks,
2026-08-30,Run,90 + 6x3:00 tempo w/:30rest,1.4623,0,10.5,0,0,"30min warm up 4x:15 strides, 90sec jog rest 3min easy (45min total) 6x3:00 tempo targeting 7:30-7:50, with 30 SECONDS jog or walk rest between each (21) CD to 90min",152 bpm avg HR · 291 TSS · IF 1.42,TrainingPeaks,
2026-08-31,Swim,DPS + breath work,0.3947,0,0,1600.0,0,100 swim 100 pull 100 kick w/fins 2x All on :20SR 100 swim (COUNT STROKES per length) 50 swim (Strokes per length -1or2) 4x50 breathing every 3 strokes 4x25 with fins fast :30SR 3x100 pull with paddles :20SR 200 CD,140 bpm avg HR · 1 TSS · IF 0.27,TrainingPeaks,
2026-09-01,Bike,Key Intensity 3x15 85-90% Broken 1.2,1.4308,21.551,0,0,0,21.6 mi bike.,132 W avg · 133 bpm avg HR · 84 TSS · IF 0.77,TrainingPeaks,
2026-09-02,Run,20’ with strides,0.3421,0,2.434,0,0,2.4 mi run.,155 bpm avg HR · 58 TSS · IF 1.32,TrainingPeaks,
2026-09-02,Swim,"Solid 3x100, 2x100, 1x100",0.703,0,0,2600.0,0,"400 swim 300 pull 100 kick 4x50 25 Fast/25 ez, 25 ez/25 fast, all fast, all easy :20SR 100 easy 2x 3x100 Steady :10SR 2x100 Solid :20SR 1x100 FAST :30SR 100 easy",149 bpm avg HR · 1 TSS · IF 0.25,TrainingPeaks,
2026-09-03,Bike,45' easy,0.7619,12.059,0,0,0,Can be done Thurs or Fri,112 W avg · 117 bpm avg HR · 29 TSS · IF 0.62,TrainingPeaks,
2026-09-03,Run,2x12:00 Steady,1.0007,0,7.158,0,0,looks solid!,159 bpm avg HR · 196 TSS · IF 1.41,TrainingPeaks,
2026-09-04,Swim,"Cruise Swim 2x (300 pull, 4x100, 6x50)",0.8388,0,0,3000.0,0,"400 swim 300 pull 100 kick 2x 300 pull 4 x 100 build within each 100 as you feel @15SRI 6 x 50 desc 1-3,4-6 @:60(2400) 200 easy",135 bpm avg HR · 1 TSS · IF 0.24,TrainingPeaks,
2026-09-05,Bike,Tempo Progression 3-2-1 90min,1.97,33.08,0,0,0,33.1 mi bike.,122 W avg · 129 bpm avg HR · 94 TSS · IF 0.69,TrainingPeaks,
2026-09-05,Run,20' easy otb,0.3333,0,2.571,0,0,2.6 mi run.,155 bpm avg HR · 69 TSS · IF 1.46,TrainingPeaks,
2026-09-06,Run,5-4-3-2-1,1.0,0,6.84,0,0,"15 min warm up 4 x 15"" strides on 2' 4 min recovery (25 min) 5',4',3',2',1' all with 2' recovery, starting comfortable tempo and descending to race pace 10 min cool down",153 bpm avg HR · 170 TSS · IF 1.31,TrainingPeaks,
2026-09-07,Run,30' easy,0.5,0,0.0,0,0,Ended up playing Padel for 90 minutes instead,,TrainingPeaks,
2026-09-07,Swim,Race Prep swim Shortened,0.5949,0,0,2000.0,0,400 swim/300 pull buoy/100 kick 4 x 50 desc 1-4 :10SR 100 easy (1100) 300 pull :20 rest 200 cruise :20SR 2 x 125 - 100 solid/25 easy :20SR (1500) 2 x 25 fast :30SR 200 easy,145 bpm avg HR · 1 TSS · IF 0.24,TrainingPeaks,
2026-09-08,Bike,TAPER workout 4x3:00 @85-90%,0.9369,12.284,0,0,0,12.3 mi bike.,112 W avg · 121 bpm avg HR · 41 TSS · IF 0.67,TrainingPeaks,
2026-09-09,Run,5x1:30 descend,0.75,0,5.387,0,0,"15 min warm up 5x1:30 descend from Steady tempo to Solid (10km effort), 2min rest 10min CD",159 bpm avg HR · 140 TSS · IF 1.37,TrainingPeaks,
2026-09-10,Bike,45' easy + 60s accelerations,0.8092,11.013,0,0,0,11.0 mi bike.,107 W avg · 124 bpm avg HR · 32 TSS · IF 0.63,TrainingPeaks,
2026-09-10,Swim,Race Prep 20x50,0.6991,0,0,2400.0,0,"400 swim/300 pull/100 kick 20x50 cruise, every 5th 50 solid :15SR (1000). 3x200 pull :30SR 200 choice (1000)",143 bpm avg HR · 1 TSS · IF 0.24,TrainingPeaks,
2026-09-13,Race,IRONMAN 70.3 Santa Cruz,5.493055555555555,55.97,13.15,2241,0,My first IRONMAN 70.3 — 5:29:35.,Swim 37:55 · T1 7:41 · Bike 2:57:05 · T2 2:01 · Run 1:44:55,Race day,
2026-09-20,Bike,Post-race outdoor bike,1.4588,18.907,0,0,0,First substantial ride back after Santa Cruz; focused on shorter climbs and holding power.,18.9 mi · 1.46 hr · ~171 W avg,TCX,
